0.0,85.37,0.0,171299.719
0.16,85.37,0.0,171299.719
0.26,85.37,0.0,171299.719
0.36,85.37,0.0,171299.719
0.44,85.37,0.0,171299.719
0.56,85.37,0.0,171299.719
0.66,85.37,0.0,171299.719
0.76,85.37,0.0,171299.719
0.86,85.37,0.0,171299.719
0.96,85.37,0.0,171299.719
1.08,85.37,0.0,171299.719
1.18,85.37,0.0,171299.719
1.24,85.37,0.0,171299.719
1.3,85.37,0.0,171299.719
1.36,85.37,0.0,171299.719
1.42,85.37,0.0,171299.719
1.54,85.37,0.0,171299.719
1.62,85.37,0.0,171299.719
1.76,85.37,0.0,171299.719
1.86,85.37,0.0,171299.719
1.94,85.37,0.0,171299.719
2.06,85.37,0.0,171299.719
2.14,85.37,0.37,171275.109
2.22,85.46,1.46,171176.703
2.36,85.77,2.81,171004.484
2.46,86.11,3.92,170881.469
2.56,86.57,5.03,170758.453
2.66,87.14,6.14,170635.438
2.76,87.82,7.25,170512.438
2.88,88.79,8.59,170364.812
2.96,89.52,9.48,170266.406
3.06,90.53,10.6,170143.391
3.16,91.66,11.72,170020.391
3.26,92.9,12.84,169897.359
3.36,94.25,13.96,169774.344
3.46,95.71,15.08,169651.344
3.58,97.62,16.43,169503.719
3.68,99.33,17.56,169380.703
3.76,100.78,18.46,169282.297
3.88,103.09,19.81,169134.688
3.98,105.14,20.94,169011.688
4.08,107.3,22.08,168888.656
4.18,109.58,23.21,168765.641
4.26,111.48,24.12,168667.234
4.38,114.47,25.48,168519.625
4.48,117.08,26.62,168396.609
4.58,119.82,27.76,168273.594
4.68,122.66,28.9,168150.578
4.78,125.62,30.04,168027.562
4.88,128.69,31.19,167904.547
4.96,131.23,32.11,167806.141
5.08,135.18,33.48,167658.531
5.18,138.6,34.63,167535.5
5.28,142.13,35.78,167412.5
5.38,145.78,36.93,167289.484
5.48,149.54,38.09,167166.469
5.58,153.42,39.24,167043.453
5.68,157.41,40.4,166920.453
5.78,161.52,41.55,166797.438
5.9,166.61,42.94,166649.812
5.98,170.09,43.87,166551.406
6.08,174.54,45.04,166428.375
6.18,179.12,46.2,166305.375
6.3,184.76,47.6,166157.75
6.38,188.61,48.53,166059.344
6.5,194.54,49.93,165911.734
6.58,198.58,50.87,165813.312
6.68,203.73,52.04,165690.312
6.78,209.01,53.13,165567.297
